"Title","Slug / filename","Category","Score","Status","Strengths","Weaknesses","AI-pattern notes","Florida/context notes","Internal link opportunities","CTA recommendation","Visual opportunity","Recommended image prompt","Final action"
"Tree Removal Cleanup: What Should Be Included in the Quote?","tree-removal-cleanup-what-should-be-included-in-the-quote.md","Tree Removal Decision Guides","82","Needs revision","Strong cleanup scope; useful homeowner expectation-setting.","No internal links; CTA missing; could be better tied to estimates.","Formulaic Short Answer but useful.","Good Florida storm cleanup and yard waste context.","Written estimate; final invoice; stump grinding; hauling; storm-damaged removal.","Add CTA to confirm cleanup, hauling, chips, and stump handling in writing.","Cleanup scope checklist.","Florida yard after tree removal with labeled piles for branches, logs, stump chips, hauling, and final cleanup.","Medium revision"
"Should Cleanup, Hauling, and Stump Grinding Be Included in a Tree Quote?","should-cleanup-hauling-and-stump-grinding-be-included-in-a-tree-quote.md","Tree Care & Cleanup","81","Needs revision","Good quote-scope topic; practical homeowner issue.","No internal links; likely overlaps with cleanup quote page; CTA could be better.","Final Takeaway and broad list structure feel templated.","Useful Florida cleanup/stump context but could be more specific.","Cleanup quote article; stump grinding guide; final invoice; low quote checklist.","Add CTA to ask for line-item quote before approving.","Quote line-item graphic.","Tree service quote with separate line items for cleanup, hauling, stump grinding, and wood chips.","Medium revision"
"Emergency Tree Removal in Florida: How to Tell When It Cannot Wait Until Morning","emergency-tree-removal-florida.md","Emergency & Storm","78","Major rewrite","Strong emergency intent; clear sign-based topic.","No internal links; older intro structure; needs safety-first short answer.","Visible older/templated pattern and weaker decision path.","Strong Florida emergency context but needs more utility/911 nuance.","24/7 emergency; nighttime wait; driveway blocked; storm damage timeline.","Add urgent CTA: stay away, call utility/911 if needed, then request local help.","Emergency decision tree.","Florida storm-damaged tree leaning toward a home with decision tree labels for utility, emergency, and tree service next steps.","Major rewrite"
"24/7 Emergency Tree Service: What Defines a Tree Emergency?","24-7-emergency-tree-service-what-defines-a-tree-emergency.md","Emergency Storm","78","Major rewrite","Valuable emergency definition topic; good homeowner demand.","No internal links; no formal short answer; needs stronger triage logic.","Older structure and generic phrasing raise AI-pattern risk.","Good Florida storm relevance but could better distinguish urgent vs scheduled.","Nighttime wait; blocked driveway; storm damage price/timeline; utility safety.","Add CTA with triage: immediate danger first, local dispatch second.","Emergency triage chart.","Simple Florida tree emergency triage chart showing power lines, roof impact, blocked access, and scheduled cleanup.","Major rewrite"
"Emergency Tree Service at Night: What Can Safely Wait Until Morning?","emergency-tree-service-at-night-what-can-safely-wait-until-morning.md","Emergency Storm","80","Needs revision","Useful nuance; good emergency decision support.","No internal links; CTA is phone-only and could be more contextual.","Older phrasing and title-like headings feel a little mechanical.","Strong night/storm context for Florida.","24/7 emergency; storm damage timeline; power-line safety; photo documentation.","Add CTA that separates immediate danger from next-morning scheduling.","Night emergency checklist.","Nighttime Florida yard with fallen limb, porch light, and checklist for what can wait versus what needs urgent help.","Medium revision"
"Emergency Tree Service Costs: Why They Differ from Standard Rates","emergency-tree-service-costs-why-they-differ-from-standard-rates.md","Emergency Storm","79","Major rewrite","Good pricing intent; useful comparison topic.","No internal links; needs clearer cost-factor framework and CTA.","Older explanatory rhythm; lacks newer short-answer structure.","Good Florida storm-market relevance.","Storm-damaged timeline; final invoice; low quote checklist; emergency definition.","Add CTA to describe urgency, access, and active hazards for a better estimate.","Emergency cost factor graphic.","Florida emergency tree service cost graphic with factors for after-hours, power lines, roof impact, access, and storm demand.","Major rewrite"
"What to Do If a Tree Blocks Your Driveway After a Storm","what-to-do-if-a-tree-blocks-your-driveway-after-a-storm.md","Emergency Storm","77","Major rewrite","Strong homeowner urgency; specific practical situation.","No links; no CTA; needs clearer safety triage and insurance/documentation path.","Older step headings are useful but not polished.","Strong Florida storm relevance.","Photo claim article; emergency service at night; storm timeline; utility safety.","Add CTA to document safely, avoid power lines, then request local emergency help.","Blocked driveway action checklist.","Florida driveway blocked by storm-fallen tree with safety zones and homeowner next-step checklist.","Major rewrite"
"Storm-Damaged Tree Removal: What Changes the Price and Timeline?","storm-damaged-tree-removal-what-changes-the-price-and-timeline.md","Emergency Tree Service","90","Minor polish","Strong price/timeline intent; good risk factors; clear ProTreeTrim CTA.","No internal links despite strong hub potential.","Low AI risk; specific and practical.","Excellent Florida storm context.","Photo claim; insurance first; emergency at night; cleanup quote; stump grinding.","Keep CTA but add linked next-step options for emergency vs cleanup vs estimate.","Price/timeline decision graphic.","Storm-damaged Florida tree over driveway with labeled factors affecting price and timeline.","Minor polish"
"What Photos Help After a Storm-Damaged Tree Claim?","what-photos-help-after-a-storm-damaged-tree-claim.md","Storm Prep & Recovery","85","Needs revision","Strong practical documentation guidance; good insurance-adjacent topic.","CTA appears early but not as a final next step; could use more internal links.","Final Takeaway is generic but article is useful.","Strong Florida storm and claim context.","Insurance/tree service first; storm damage timeline; cleanup quote; emergency triage.","Add CTA to document safely and request cleanup support after photos.","Photo shot list graphic.","Smartphone photo checklist for storm-damaged Florida tree showing wide, medium, close-up, access, and property-damage shots.","Medium revision"
"Should You Call Insurance or a Tree Service First After Storm Damage?","should-you-call-insurance-or-a-tree-service-first-after-storm-damage.md","Storm Prep & Recovery","86","Needs revision","Strong decision-support topic; good safety-first order; useful internal links.","Final CTA could be stronger and more visually separated.","Final Takeaway and repeated decision framing are mildly templated.","Excellent Florida storm context.","Emergency definition; photos; storm timeline; preventive insurance.","Add CTA with two paths: urgent hazard help vs stable insurance documentation.","Decision path flowchart.","Florida storm damage flowchart showing call emergency services, utility, insurance, or tree service depending on hazard level.","Medium revision"
"Do You Need an Arborist Report to Remove a Hazardous Tree in Florida?","do-you-need-an-arborist-report-to-remove-a-hazardous-tree-in-florida.md","Florida Laws & Property Risk","68","Major rewrite","Important legal/commercial topic; good need for homeowner clarity.","Visible citation artifacts; no internal links; no CTA; legal language needs careful cleanup.","High AI/publishing-artifact risk from turn...search citations.","Florida context is central but source handling must be repaired.","Permit guide; Florida Statute 163.045; county hubs; hazardous tree and risk assessment articles.","Add cautious CTA to verify local rules and get qualified onsite documentation.","Documentation checklist.","Florida homeowner reviewing arborist report documentation for hazardous tree removal with permit and risk-assessment checklist.","Major rewrite"
"Do You Need a Permit to Remove a Tree in Florida? What Property Owners Need to Know","florida-tree-removal-permit-guide.md","Florida Laws & Property Risk","75","Major rewrite","High-value permit topic; useful homeowner framing.","No links; no CTA; no strong early answer; needs current source-aware cleanup.","Older legal explainer rhythm feels generic.","Florida relevance is high but should route readers to county/local review.","Statute 163.045; arborist report; Orange County permit guide; county hubs; HOA articles.","Add CTA to verify city/county/HOA requirements before non-emergency removal.","Permit decision tree.","Florida tree removal permit decision tree with branches for hazardous tree, protected tree, HOA, county, and emergency.","Major rewrite"
"Florida Statute 163.045: What Homeowners Should Understand Before Tree Removal","florida-statute-163-045-what-homeowners-should-understand-before-tree-removal.md","Florida Laws & Property Risk","72","Major rewrite","Important law-specific topic; good opportunity for trust.","No links; no CTA; legal nuance needs clearer short answer and source cleanup.","Generic legal explainer structure; likely older AI pattern.","Florida context is strong but needs practical homeowner verification steps.","Permit guide; arborist report; county pages; HOA/mangrove content.","Add cautious CTA to verify documentation before relying on the statute.","Statute explainer graphic.","Clean Florida Statute 163.045 homeowner explainer showing documentation, residential property, unacceptable risk, and local-rule checks.","Major rewrite"
"Does Homeowners Insurance Cover Preventive Tree Removal in Florida?","does-homeowners-insurance-cover-preventive-tree-removal-in-florida.md","Storm Prep & Recovery","82","Needs revision","Useful insurance intent; practical distinction between preventive and covered damage.","Limited links; CTA is present but could be better tied to documentation.","Final Takeaway and repeated caution phrasing feel templated.","Strong Florida storm-season context.","Photos; insurance vs tree service first; storm damage timeline; leaning tree.","Add CTA to document risk and request local review before storm season.","Preventive removal insurance checklist.","Florida homeowner documenting a leaning tree before hurricane season with insurance, photos, and inspection checklist.","Medium revision"
"Should You Remove a Leaning Tree or Monitor It?","should-you-remove-a-leaning-tree-or-monitor-it.md","Tree Removal Decision Guides","83","Needs revision","Strong risk-decision topic; clear old lean vs new lean distinction.","No internal links; CTA missing; could use stronger Florida examples.","Formulaic but useful short-answer format.","Good Florida rain/storm/root plate context.","Emergency tree removal; soil cracks; root plate; risk assessment; storm inspection.","Add CTA to request review if lean is new, increasing, or aimed at a target.","Leaning tree decision diagram.","Florida yard with leaning tree diagram showing old lean, new lean, root plate movement, and target risk.","Medium revision"
"What Is a Widowmaker Branch, and Why Florida Homeowners Should Not Ignore It","what-is-a-widowmaker-branch-and-why-florida-homeowners-should-not-ignore-it.md","Storm Prep & Recovery","82","Needs revision","Clear safety topic; good homeowner warning language; CTA exists.","No internal links; final takeaway generic; could define emergency vs scheduled more sharply.","Repeated safety-check structure is predictable.","Good Florida yard/storm context.","Emergency at night; 24/7 emergency; storm inspection; photo documentation.","Keep CTA but add a short emergency threshold before it.","Hanging limb warning visual.","Large cracked limb hanging over a Florida driveway with warning labels for target area, tension, and safe distance.","Medium revision"
"Do Trees Really Damage Foundations in Florida? Myth vs Real Risk","do-trees-really-damage-foundations-in-florida-myth-vs-real-risk.md","Arborist Services","80","Needs revision","Good myth-vs-risk framing; useful root/foundation homeowner concern.","No internal links; CTA weak; needs more Florida species/site examples.","Final Takeaway and broad section pattern feel templated.","Good Florida drainage/soil context but could be sharper.","Root cutting; foundation/root article; critical root zone; risk assessment.","Add CTA to inspect drainage/root clues before cutting roots or removing a tree.","Foundation/root inspection graphic.","Florida home foundation and nearby tree roots with labels for drainage, hardscape lift, soil moisture, and inspection points.","Medium revision"
"How Close Is Too Close to Cut Tree Roots Near a Florida Home?","how-close-is-too-close-to-cut-tree-roots-near-a-florida-home.md","Arborist Services","81","Needs revision","Strong practical root-cutting question; good stability warnings.","No internal links; CTA needs stronger next step; could use visual decision support.","Some repeated caution phrasing.","Strong Florida soil, storm, hardscape, and utility context.","Foundations; critical root zone; root damage recovery; pavers/root articles.","Add CTA to get review before cutting large roots close to trunk or on lean side.","Root distance risk diagram.","Diagram of Florida tree trunk, critical root zone, house, driveway, and root-cutting distance risk zones.","Medium revision"
"Is a Palm Too Close to the House a Real Problem in Florida?","is-a-palm-too-close-to-the-house-a-real-problem-in-florida.md","Landscaping & Planting","81","Needs revision","Good palm/root myth framing; homeowner-friendly.","No internal links; CTA weak; could add service intent for removal vs trimming.","Final Takeaway style and repetitive question framing.","Strong Florida palm context.","Palm trimming; palm removal; yellow palm leaves; storm inspection; roofline trimming.","Add CTA to inspect roofline/fronds/lean and request help if clearance or storm risk is present.","Palm clearance checklist.","Florida palm planted near a house with labels for roofline clearance, frond contact, moisture, fruit, and storm exposure.","Medium revision"
"Why Are My Palm Leaves Turning Yellow in Florida? Nutrients, Water, or Disease?","why-are-my-palm-leaves-turning-yellow-in-florida-nutrients-water-or-disease.md","Arborist Services","80","Needs revision","Strong symptom intent; helpful diagnostic categories.","No internal links; CTA weak; could use more decision-support visuals.","Final Takeaway and symptom-list format feel templated.","Strong Florida palm nutrition/water context.","Palm inspection; brown palm leaves; palm bud rot; palm removal; trimming timing.","Add CTA to avoid blind pruning/fertilizing and request review if new growth is affected.","Palm symptom diagram.","Florida palm frond diagram showing lower frond yellowing, edge yellowing, new spear distortion, water stress, and disease warning signs.","Medium revision"
